timestamp,x,y,z
98916.047521416,9.0,9.0,1.0999999999258092
98916.057648583,9.0,9.0,1.0999999997594954
98916.069797125,9.0,9.0,1.099999999439334
98916.081970375,9.0,9.0,1.0999999989909224
98916.09379275,8.999999998549473,8.999999998549473,1.0999999868457204
98916.105792333,8.99999997355385,8.99999997355385,1.0999999287404392
98916.117121208,8.999999854601072,8.999999854601073,1.099999841479376
98916.128384708,8.99999954400935,8.999999544009361,1.0999997363011793
98916.139201625,8.999998964412892,8.999998964412933,1.0999995860605607
98916.151352833,8.999997805794616,8.999997805794832,1.099999320430012
98916.163457791,8.999995809912443,8.9999958099135,1.0999989163060442
98916.175623291,8.999992471212211,8.999992471216514,1.0999983369483124
98916.186960958,8.99998755276834,8.999987552781981,1.0999976208028812
98916.198503458,8.99997997909985,8.999979979138859,1.0999967075517358
98916.21059625,8.999968214160848,8.99996821426611,1.0999955532470542
98916.222673916,8.999951217033315,8.999951217292184,1.0999942178225968
98916.234818625,8.999927215721902,8.999927216313328,1.0999927320650418
98916.246956,8.999894418024141,8.999894419285964,1.099991167744571
98916.258011541,8.999855067055686,8.999855069445402,1.0999897479081646
98916.268271291,8.999808842481805,8.999808846638283,1.099988513220953
98916.280425541,8.999739775970673,8.999739783637539,1.099987271682853
98916.292598291,8.99965234965408,8.9996523632323,1.0999864093776057
98916.304784625,8.999543432079319,8.999543455272926,1.0999861097722567
98916.316945583,8.999410082856704,8.999410121156615,1.0999865771071922
98916.32909775,8.999248692903352,8.99924875429624,1.0999880337337153
98916.341255875,8.999055338225498,8.999055434078125,1.0999907248400718
98916.353424583,8.998825939010302,8.998826085150325,1.0999949146481358
98916.365577291,8.998556900797196,8.998557118643784,1.1000008668940235
98916.37737925,8.998253360767963,8.998253675669968,1.1000086046900628
98916.38953225,8.997892933194843,8.997893385104835,1.1000188378371654
98916.401700083,8.99747887836014,8.997479516139494,1.1000315765975166
98916.413892166,8.99700591409002,8.997006800418255,1.1000470094092505
98916.426083666,8.996470049835766,8.996471262999696,1.1000652582024322
98916.438275,8.995866443452561,8.995868080331872,1.1000864454457329
98916.450461916,8.995190499084881,8.995192677750088,1.1001106586810427
98916.46264775,8.994437239982428,8.994440102928957,1.100137972769455
98916.474835916,8.993601619512331,8.993605336923865,1.1001684395885454
98916.487001791,8.992680750883842,8.99268552140765,1.1002020064450988
98916.499165416,8.99166865386268,8.991674711134104,1.1002387101048625
98916.509449291,8.99073821422443,8.990745569207988,1.100272123844072
98916.521623375,8.989544184829278,8.989553359807038,1.1003144811332788
98916.532549208,8.98838358672443,8.988394690829251,1.1003550106620472
98916.544730666,8.986986238365642,8.986999865862341,1.1004029354463745
98916.556881291,8.985479600895012,8.985496184701157,1.1004535312889145
98916.56906275,8.983851684240289,8.983871725371932,1.100506923006106
98916.581245666,8.98210166948089,8.982125719022182,1.1005628437086665
98916.593464083,8.98021988179058,8.980248564489095,1.100621296714307
98916.605618416,8.978217980069518,8.978251943261707,1.1006816158365549
98916.616210541,8.976364525187806,8.976403687096282,1.100735726955553
98916.627585833,8.974258006228352,8.974303423445383,1.1007952597696065
98916.639706375,8.971877772315946,8.971930683035012,1.1008602059239494
98916.651891958,8.969339921471573,8.969401297163255,1.1009268217649988
98916.664103625,8.966647227535939,8.966718096461651,1.1009944726056315
98916.675650583,8.963960265280015,8.964041108116998,1.1010587677809496
98916.687643833,8.961021301915938,8.961113599338422,1.101125396904262
98916.699815416,8.957881094708025,8.957986228583216,1.1011923975493247
98916.710986791,8.954856592883973,8.95497464298094,1.1012528517476936
98916.723174541,8.951398749327813,8.95153219355884,1.101317200194572
98916.7353795,8.947767887000975,8.947918173538671,1.1013795424012713
98916.747562291,8.94397320223523,8.944141786162026,1.1014391887605897
98916.75974475,8.940005928910221,8.940194351791956,1.101495780246513
98916.771889,8.935876978992216,8.936086766055714,1.1015487044328118
98916.784104708,8.93154626913421,8.931779192818551,1.1015980004796708
98916.795963458,8.927170038565105,8.927427042584661,1.1016416697230385
98916.808157041,8.922491783587343,8.922775246896208,1.101681905515863
98916.82034225,8.917634427556806,8.917946081956048,1.1017170763649893
98916.832529333,8.912592625135112,8.912934247299681,1.1017469015646255
98916.844133916,8.907619911140802,8.907991730397503,1.1017700161017594
98916.854514291,8.903028924617727,8.903429134977763,1.101786008228168
98916.866705208,8.897464084643545,8.89789930279751,1.1017990214910032
